OUXReLJQ,16.03.2022 00:15,Finished,Schwartzman D. ,Isner J. ,Men,ATP,Indian Wells,Main,1/16-finals,Hard,Outdoor,0,0,0,2,5,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2022-03-16 04:00:57.898815
tCcpkG1I,16.03.2022 02:10,Finished,Johnson S. ,Hurkacz H. ,Men,ATP,Indian Wells,Main,1/16-finals,Hard,Outdoor,0,0,0,2,6,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2022-03-16 04:01:03.583810
lAfH3OZf,0,Finished,Bublik A. ,Dimitrov G. ,Men,ATP,Indian Wells,Main,1/16-finals,Hard,Outdoor,2.00,1.80,0,2,3,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2022-03-16 04:19:55.001023
EmQXBnSE,16.03.2022 04:35,Scheduled,Rublev A. ,Tiafoe F. ,Men,ATP,Indian Wells,Main,1/16-finals,Hard,Outdoor,1.36,3.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2022-03-16 04:01:10.456443
dEfGoK6H,16.03.2022 21:00,Scheduled,Berrettini M. ,Kecmanovic M. ,Men,ATP,Indian Wells,Main,1/8-finals,Hard,Outdoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:01:13.819096
E1NfGpUb,16.03.2022 21:00,Scheduled,Fritz T. ,De Minaur A. ,Men,ATP,Indian Wells,Main,1/8-finals,Hard,Outdoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:01:17.351489
h6L18AgJ,16.03.2022 21:00,Scheduled,Monfils G. ,Alcaraz C. ,Men,ATP,Indian Wells,Main,1/8-finals,Hard,Outdoor,3.40,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:01:20.904560
SKsoXSrl,16.03.2022 21:00,Scheduled,Nadal R. ,Opelka R. ,Men,ATP,Indian Wells,Main,1/8-finals,Hard,Outdoor,1.20,4.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:01:24.423102
plnW2L8J,16.03.2022 21:00,Scheduled,Norrie C. ,Brooksby J. ,Men,ATP,Indian Wells,Main,1/8-finals,Hard,Outdoor,1.90,1.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:01:27.917701
Ovoz2uOP,16.03.2022 21:00,Scheduled,Sinner J. ,Kyrgios N. ,Men,ATP,Indian Wells,Main,1/8-finals,Hard,Outdoor,1.72,2.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-03-16 04:01:31.431934
2DMTCSC8,16.03.2022 00:25,Finished,Dart H. ,Keys M. ,Women,WTA,Indian Wells,Main,1/8-finals,Hard,Outdoor,0,0,0,2,1,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022-03-16 04:01:34.998385
UTwqGt73,16.03.2022 01:20,Finished,Sakkari M. ,Saville D. ,Women,WTA,Indian Wells,Main,1/8-finals,Hard,Outdoor,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2022-03-16 04:01:38.544517
